customer_id,email,full_name,signup_date,account_status,loyalty_points
CUST0001,customer1@example.com,Customer 1,2024-05-06,active,1568
CUST0002,customer2@example.com,Customer 2,2024-01-11,active,2519
CUST0003,customer3@example.com,Customer 3,2024-07-11,active,854
CUST0004,customer4@example.com,Customer 4,2024-05-04,active,4238
CUST0005,customer5@example.com,Customer 5,2024-01-26,active,2440
CUST0006,customer6@example.com,Customer 6,2024-01-02,active,1896
CUST0007,customer7@example.com,Customer 7,2024-04-22,active,2168
CUST0008,customer8@example.com,Customer 8,2024-09-12,active,2785
CUST0009,customer9@example.com,Customer 9,2024-01-05,active,1148
CUST0010,customer10@example.com,Customer 10,2024-12-16,active,191
CUST0011,customer11@example.com,Customer 11,2024-08-12,active,3227
CUST0012,customer12@example.com,Customer 12,2024-11-17,active,375
CUST0013,customer13@example.com,Customer 13,2024-12-19,active,1019
CUST0014,customer14@example.com,Customer 14,2024-12-01,active,4840
CUST0015,customer15@example.com,Customer 15,2024-11-27,active,4795
CUST0016,customer16@example.com,Customer 16,2024-08-15,active,598
CUST0017,customer17@example.com,Customer 17,2024-09-04,active,1692
CUST0018,customer18@example.com,Customer 18,2024-09-09,active,1829
CUST0019,customer19@example.com,Customer 19,2024-05-12,active,675
CUST0020,customer20@example.com,Customer 20,2024-11-25,active,4433
CUST0021,customer21@example.com,Customer 21,2024-04-26,active,2304
CUST0022,customer22@example.com,Customer 22,2024-11-03,active,4275
CUST0023,customer23@example.com,Customer 23,2024-01-03,inactive,3499
CUST0024,customer24@example.com,Customer 24,2024-06-28,active,2605
CUST0025,customer25@example.com,Customer 25,2024-06-01,active,2522
CUST0026,customer26@example.com,Customer 26,2024-05-09,active,1858
CUST0027,customer27@example.com,Customer 27,2024-11-06,active,1071
CUST0028,customer28@example.com,Customer 28,2024-06-28,active,3801
CUST0029,customer29@example.com,Customer 29,2024-11-28,active,698
CUST0030,customer30@example.com,Customer 30,2024-01-14,active,904
CUST0031,customer31@example.com,Customer 31,2024-08-05,active,959
CUST0032,customer32@example.com,Customer 32,2024-01-02,active,4575
CUST0033,customer33@example.com,Customer 33,2024-01-14,active,727
CUST0034,customer34@example.com,Customer 34,2024-07-10,active,2445
CUST0035,customer35@example.com,Customer 35,2024-11-13,active,1215
CUST0036,customer36@example.com,Customer 36,2024-03-12,inactive,2068
CUST0037,customer37@example.com,Customer 37,2024-02-24,active,3231
CUST0038,customer38@example.com,Customer 38,2024-12-22,inactive,4206
CUST0039,customer39@example.com,Customer 39,2024-04-18,active,3268
CUST0040,customer40@example.com,Customer 40,2024-10-07,active,445
CUST0041,customer41@example.com,Customer 41,2024-11-06,inactive,1374
CUST0042,customer42@example.com,Customer 42,2024-05-21,active,2736
CUST0043,customer43@example.com,Customer 43,2024-02-22,active,4037
CUST0044,customer44@example.com,Customer 44,2024-03-24,active,3749
CUST0045,customer45@example.com,Customer 45,2024-06-19,active,4938
CUST0046,customer46@example.com,Customer 46,2024-01-14,active,4448
CUST0047,customer47@example.com,Customer 47,2024-03-19,active,2771
CUST0048,customer48@example.com,Customer 48,2024-05-17,active,4660
CUST0049,customer49@example.com,Customer 49,2024-04-03,active,3632
CUST0050,customer50@example.com,Customer 50,2024-05-16,active,4180
